Filename,repeated_content_and_pronoun_lemmas,function_ttr,pronoun_density,reason_and_purpose,adjacent_overlap_binary_all_para,adjacent_overlap_binary_verb_sent,addition,adjacent_overlap_binary_2_noun_sent,adjacent_overlap_fw_para,adjacent_overlap_binary_2_all_sent
1008.txt_0,0.278317152,0.302816901,0.012944984,0.003236246,1,0.173913043,0.019417476,0.272727273,0.285714286,0.863636364
1014.txt_0,0.276363636,0.297520661,0.025454545,0.010909091,0.928571429,0.111111111,0.032727273,0.588235294,0.265060241,0.941176471
1023.txt_0,0.240223464,0.341463415,0.016759777,0,0.9,0.2,0.022346369,0.357142857,0.267857143,0.785714286
1024.txt_0,0.30952381,0.300884956,0.01984127,0.003968254,0.833333333,0.05,0.031746032,0.368421053,0.240963855,0.789473684
1025.txt_0,0.268292683,0.355555556,0.024390244,0,0.75,0.0625,0.029268293,0.466666667,0.275362319,0.866666667
1040.txt_0,0.234042553,0.408450704,0.005319149,0.005319149,1,0.071428571,0.021276596,0.230769231,0.265306122,1
1042.txt_0,0.291390728,0.385964912,0.006622517,0.013245033,1,0.083333333,0.039735099,0.545454545,0.466666667,0.909090909
1049.txt_0,0.326086957,0.338461538,0.010869565,0,0.888888889,0.166666667,0.043478261,0.636363636,0.225806452,1
1053.txt_0,0.272189349,0.4,0,0,1,0.181818182,0.041420118,0.4,0.407407407,1
1069.txt_0,0.285714286,0.293478261,0.004464286,0.026785714,0.8,0.111111111,0.008928571,0.588235294,0.385714286,0.882352941
1075.txt_0,0.334415584,0.189285714,0.021103896,0.012987013,0.916666667,0.108695652,0.025974026,0.311111111,0.262222222,0.933333333
1082.txt_0,0.345381526,0.314285714,0.008032129,0.004016064,0.785714286,0.05,0.040160643,0.631578947,0.324675325,0.894736842
1086.txt_0,0.355817875,0.229965157,0.02698145,0.011804384,0.928571429,0.170731707,0.032040472,0.65,0.271428571,0.95
1095.txt_0,0.289693593,0.276470588,0.013927577,0.005571031,0.703703704,0.064516129,0.033426184,0.333333333,0.213740458,0.933333333
1102.txt_0,0.28957529,0.324561404,0.042471042,0.011583012,0.818181818,0.277777778,0.023166023,0.470588235,0.205479452,0.823529412
1106.txt_0,0.345276873,0.258503401,0.058631922,0.006514658,0.9,0.263157895,0.026058632,0.388888889,0.341463415,0.944444444
1107.txt_0,0.358606557,0.226190476,0.071721311,0.004098361,0.9,0.15625,0.022540984,0.451612903,0.2875,0.967741935
1112.txt_0,0.271186441,0.431818182,0.008474576,0,0.833333333,0.125,0.025423729,0.428571429,0.3125,0.857142857
1122.txt_0,0.357859532,0.184397163,0.046822742,0.006688963,0.875,0.040816327,0.035117057,0.354166667,0.392156863,0.833333333
1126.txt_0,0.293975904,0.23255814,0.007228916,0,0.6875,0.176470588,0.03373494,0.363636364,0.167938931,0.848484848
1159.txt_0,0.272727273,0.260869565,0,0.005050505,0.923076923,0.0625,0.03030303,0.533333333,0.380952381,1
1174.txt_0,0.25,0.262443439,0.024122807,0.013157895,0.833333333,0.238095238,0.01754386,0.7,0.305970149,0.95
1176.txt_0,0.362697866,0.129476584,0.053682037,0.011699931,0.923076923,0.125,0.024776325,0.482758621,0.302771855,0.954022989
1182.txt_0,0.328320802,0.272277228,0.062656642,0.010025063,0.75,0.230769231,0.020050125,0.36,0.243902439,0.92
1199.txt_0,0.271573604,0.244897959,0.020304569,0.010152284,0.823529412,0.208333333,0.032994924,0.52173913,0.288888889,0.869565217
120.txt_0,0.286821705,0.290598291,0.027131783,0.003875969,0.625,0.086956522,0.050387597,0.272727273,0.180722892,0.681818182
1202.txt_0,0.28440367,0.304761905,0.009174312,0,0.9,0.142857143,0.041284404,0.461538462,0.25862069,0.923076923
1203.txt_0,0.350393701,0.182539683,0.082677165,0.011811024,0.909090909,0.066666667,0.025590551,0.551724138,0.429752066,0.931034483
1209.txt_0,0.326474623,0.179419525,0.072702332,0.008230453,0.944444444,0.238095238,0.020576132,0.512195122,0.333333333,0.951219512
1215.txt_0,0.3125,0.388888889,0.026785714,0.013392857,0.7,0.214285714,0.03125,0.384615385,0.237288136,0.692307692
1218.txt_0,0.282352941,0.241803279,0.035294118,0.011764706,1,0.125,0.025490196,0.580645161,0.319444444,0.967741935
1223.txt_0,0.234309623,0.377358491,0.025104603,0.025104603,0.615384615,0.266666667,0.012552301,0.357142857,0.153846154,0.857142857
1227.txt_0,0.340482574,0.306818182,0.045576408,0.00536193,0.785714286,0.409090909,0.024128686,0.476190476,0.261682243,0.904761905
1234.txt_0,0.269230769,0.246305419,0.051282051,0.028205128,0.846153846,0.304347826,0.030769231,0.454545455,0.276422764,0.909090909
1247.txt_0,0.363984674,0.222641509,0.097701149,0.011494253,0.772727273,0.117647059,0.019157088,0.363636364,0.215189873,0.939393939
